user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/profiles/76561198025461131/,9,0,0.1 hrs on record,"
				4 of 5 people (80%) found this review helpful			","
Posted: March 6
												A virtual disco is such a great idea but this really needs some art direction. At the moment all environements look the same and are a flickering and overloaded mess. And it is not much fun dancing alone.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/018554869/,5,1,8.6 hrs on record,"
				4 of 5 people (80%) found this review helpful			","
Posted: April 3
												Nice just add sexy model for dance with us ............			",25,2,1,4,4,1,1
http://steamcommunity.com/profiles/76561198264128255/,24,1,0.6 hrs on record,"
				3 of 4 people (75%) found this review helpful			","
Posted: March 7
												This app is REALLY BASIC at this point, you may wish to wait until there are more features.It seems like a fun idea!			",0,0,0,0,0,0,0
