user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/ab_spork/,9,0,0.5 hrs on record,"
				2 of 6 people (33%) found this review helpful			","
Posted: November 5, 2016
Early Access Review
								I would like to play with my friends.  Please add a party mode.This game is pretty fun otherwise.			",122,24,0,14,21,0,14
http://steamcommunity.com/id/WhyAreYouStalkinMe/,13,1,0.4 hrs on record,"
				4 of 11 people (36%) found this review helpful			","
Posted: October 28, 2016
Early Access Review
								apparently it has no reviewshere giving it 100% positive			",74,7,1,11,7,1,4
http://steamcommunity.com/profiles/76561198321487890/,2,1,0.3 hrs on record,"
				3 of 8 people (38%) found this review helpful			","
Posted: October 28, 2016
Early Access Review



YouTube™ Video: Fire In The Goal Game Review 

			Views: 73		

			😂😂😂 -Play of the game ----------------------------------------------------------------------- -Subscribe For More https://www.youtube.com/channel/UC_z0Xw9m7WivKRBqGZKtJsw...		

Review and gameplay but over all good game			",6,2,0,0,1,0,1
