user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198063354145/,1,0.2 ,"
				1 of 4 people (25%) found this review helpful			","5
												Played alittle of the story. Pretty fun game dev! I see alot of potential in this. Love the music! Wouldnt mind knowing where it came from. Ill see if i can convince my friends to play as well!			"
http://steamcommunity.com/profiles/76561198121464779/,0,0.5 ,"
				12 of 32 people (38%) found this review helpful			","ry 11
												Great potential, something i could find myself getting into. There is one major problem, there is currently no online multiplayer. Which I assume will be added soon. But until then... I cannot recommend this game.			"
