user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198005965669/,0,16.1,"
				15 of 16 people (94%) found this review helpful			","er 29, 2015
												Very buggy. Should not be released.I wish Steam could give some of these titles a brief test.This thing is frozen at about week 6 of recruiting.Does not advance, can't save, just have to exit out.			"
http://steamcommunity.com/profiles/76561198198576729/,0,1.6 ,"
				9 of 9 people (100%) found this review helpful			","er 26, 2015
												Buggy and to many issue from screen resolution and crashes spend your money on DDS Pro Basketball 4 much better game then this a less buggy			"
http://steamcommunity.com/profiles/76561198035097970/,0,2.1 ,"
				9 of 11 people (82%) found this review helpful1 person found this review funny			","er 30, 2015
												Glitchy as hell			"
http://steamcommunity.com/profiles/76561198012409839/,0,126.,"
				4 of 4 people (100%) found this review helpful			","ry 27, 2016
												Crashes so much that it becomes unplayable.			"
http://steamcommunity.com/id/freebundy/,0,1.2 ,"
				2 of 2 people (100%) found this review helpful			","11, 2016
												Like many of the others reviewing this, I also found it to crash. I didn't even get to any actual games before it crashed the first time, and every time I load it up it crashes again, and starting a new file crashes it.			"
http://steamcommunity.com/profiles/76561198094635411/,0,0.8 ,"
				11 of 21 people (52%) found this review helpful			","er 23, 2015
												DONT BUY THIS GAME.  Keeps crashing.			"
http://steamcommunity.com/id/kemaltirtam/,1,11.4,"
				0 of 1 people (0%) found this review helpful			","14, 2016
												the best simulation college basketball in my mind, still waiting for the 2016 version tho			"
http://steamcommunity.com/profiles/76561198171944374/,1,0.9 ,"
				2 of 8 people (25%) found this review helpful			","er 27, 2015
												great college basketball simulation and exactly like draft day basketball 4 but it's college basketball!!			"
