user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198284991913/,0,0.1 ,"
				7 of 19 people (37%) found this review helpful			",", 2016
Product received for free
												It's bad not worth any money			"
http://steamcommunity.com/profiles/76561198087818431/,1,0.4 ,"
				12 of 46 people (26%) found this review helpful7 people found this review funny			","7, 2015
												Extremely fun game, surprisingly difficult too! I would definitley recommend this game for the price.			"
http://steamcommunity.com/profiles/76561198151218914/,1,0.9 ,"
				15 of 47 people (32%) found this review helpful7 people found this review funny			","7, 2015
												Has a few bugs but its ok, I love the retro 2D,3D,4D,5D think that they have in the game. In my eye`s its the best paintball game ever. To shoot a ball of digital paint is the best thing that can happen (I think) unless my moms is going to start playing it.			"
