user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/thewookie34/,1,2.1 hrs on record,"
				12 of 18 people (67%) found this review helpful3 people found this review funny			","
Posted: September 13, 2011
												Some events are fun as hell but then some events just make you wtf. Wouldn't pay more then 5$.			"
http://steamcommunity.com/id/jonasozie/,1,0.4 hrs on record,"
				1 of 20 people (5%) found this review helpful5 people found this review funny			","
Posted: April 27, 2016
												bought it in 2010, havent played it I rate			"
http://steamcommunity.com/id/innercircle/,0,0.7 hrs on record,"
				10 of 15 people (67%) found this review helpful2 people found this review funny			","
Posted: May 2, 2012
												Its fun. But not worth paying for ultimately. Its grfx are good. BUt its gameplay is so limited. It's missing events (like biathalon) and theres no career mode, just chasing fastest times. Its multiplayer is limited.That said it has a great soundtrack for a game like this.			"
