user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/profiles/76561198154303145/,43,1,0.0,"
				3 of 5 people (60%) found this review helpful			","er 23, 2014
												A fantastic addon to a fantastic game. Good value, too.			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198043038506/,322,1,0.0,"
				0 of 1 people (0%) found this review helpful1 person found this review funny			","7, 2015
												Oh god the ending is ♥♥♥♥ed up but the game is spectacular!			",196,18,14,26,20,0,22
http://steamcommunity.com/id/skysatan/,11,1,12.6,"
				1 of 4 people (25%) found this review helpful1 person found this review funny			","y 5, 2015
												great add for great game			",430,136,15,48,33,3,53
http://steamcommunity.com/id/76561197990448244/,8,1,0.0,"
				No ratings yet			","ry 26, 2016
												OMG yes ..			",38,6,16,2,7,0,7
http://steamcommunity.com/profiles/76561198052603954/,15,1,0.0,"
				No ratings yet			","r 1, 2015
												Good DLC Pack.WTCC 2010 season.			",24,2,13,0,4,0,2
http://steamcommunity.com/id/zoujewelwillewetehe/,16,1,0.0,"
				No ratings yet			",", 2016
												noice			",220,52,16,16,15,4,18
