user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/jahova/,60,0,0.4 hrs on record,"
				387 of 578 people (67%) found this review helpful241 people found this review funny			","
Posted: March 7, 2016
												♥♥♥♥ this game. DO NOT BUY			",0,0,0,0,0,0,0
http://steamcommunity.com/id/largebroom/,15,1,0.2 hrs on record,"
				234 of 342 people (68%) found this review helpful225 people found this review funny			","
Posted: March 12, 2016
												i like play elephant			",0,0,0,0,0,0,0
