user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/goyoelburro/,7,1,0.9 hrs on record,"
				6 of 8 people (75%) found this review helpful			","
Posted: January 13
												Simple, but fun.The physics seem fairly realistic and the bottles of rum are a nice touch.			",139,40,10,6,41,4,4
http://steamcommunity.com/profiles/76561198356276310/,2,1,0.2 hrs on record,"
				2 of 3 people (67%) found this review helpful			","
Posted: January 15
												Reproducibility as a bowling game is very high.The ball feels light bowling.It is a good game with cheap price setting.			",22,5,2,0,4,3,0
http://steamcommunity.com/profiles/76561197968695665/,8,0,0.3 hrs on record,"
				1 of 4 people (25%) found this review helpful			","
Posted: February 2
												this does not work in VR HTC headset at all, will not even appear. How do i return and get my money back?			",35,3,0,3,0,3,3
