user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/itsmedavetn/,10,1,0.0 hrs on record,"
				3 of 3 people (100%) found this review helpful			","
Posted: September 9, 2015
												Excellent add on for Race 07.			",114,20,56,12,19,4,8
http://steamcommunity.com/id/maggit00/,16,1,0.0 hrs on record,"
				10 of 17 people (59%) found this review helpful			","
Posted: September 18, 2011
												I have to admit it, I bought it for the Matech but it's a bit outrageous they charge 5 EUR for 3 cars.			",232,36,15,11,7,2,21
http://steamcommunity.com/id/theshaniel/,13,1,0.0 hrs on record,"
				4 of 6 people (67%) found this review helpful10 people found this review funny			","
Posted: April 3, 2015
												11/10 ""Would punch a BBC producer...in the face, then drive off in a Pagani Zonda-R."", Jeremy Clarkson			",43,1,50,2,13,0,2
http://steamcommunity.com/id/ViperMAG/,15,1,0.0 hrs on record,"
				2 of 3 people (67%) found this review helpful			","
Posted: September 21, 2015
												If you have Race07, and enjoy either the online, or the offline modes, and want to have higher powered GT cars, then grab this.  A few extra tracks and cars.  Its nothing special really, just DLC for Race.			",141,3,20,12,14,0,12
http://steamcommunity.com/id/Natho99/,8,1,0.0 hrs on record,"
				2 of 5 people (40%) found this review helpful			","
Posted: October 23, 2012
												awesome!!!!! ",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198052603954/,2,1,0.0 hrs on record,"
				1 of 3 people (33%) found this review helpful			","
Posted: March 19, 2015
												Nice DLC... :)			",24,2,13,0,4,0,2
http://steamcommunity.com/profiles/76561198158121567/,6,0,0.0 hrs on record,"
				0 of 9 people (0%) found this review helpful2 people found this review funny			","
Posted: February 7, 2016
												Thus far my NORTON software keeps notifying me that this is aTtrojon type2 virus??? Whats with that.			",0,0,5,0,0,0,0
http://steamcommunity.com/id/deanofmeat/,19,1,0.0 hrs on record,"
				5 of 20 people (25%) found this review helpful1 person found this review funny			","
Posted: November 15, 2014
												I am an elf			",41,0,6,4,2,0,0
