user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/Watraks/,12,1,0.0 hrs on record,"
				4 of 4 people (100%) found this review helpful			","
Posted: March 26, 2016
												2 $  .... Buy it			",46,1,14,0,11,0,0
http://steamcommunity.com/id/jord77665/,7,1,0.0 hrs on record,"
				15 of 26 people (58%) found this review helpful			","
Posted: November 15, 2012
												Great race game with good realistic racing and impressive graphics.			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198087681011/,43,1,0.0 hrs on record,"
				1 of 3 people (33%) found this review helpful			","
Posted: January 24, 2016
												Love it			",12,2,23,0,0,1,0
