user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198052229449/,1,59.8 hrs on record,"
				12 of 15 people (80%) found this review helpful1 person found this review funny			","
Posted: December 3, 2013
												Good game to kill some time			"
http://steamcommunity.com/id/Comrad2/,1,13.8 hrs on record,"
				14 of 19 people (74%) found this review helpful			","
Posted: December 21, 2013
												This is awesome			"
http://steamcommunity.com/id/antisunshine/,0,43.6 hrs on record,"
				3 of 6 people (50%) found this review helpful			","
Posted: December 21, 2015
												The game randomly crashes and you lose all progress. Saveing does nothing. :(			"
http://steamcommunity.com/profiles/76561198066229933/,0,5.6 hrs on record,"
				9 of 24 people (38%) found this review helpful5 people found this review funny			","
Posted: April 4, 2014
												Works like♥♥♥♥♥♥on windows 8. Chrash all the time. Saved games diasapper. Have to start from beginning over and over again. Dont buy! Waste of money			"
http://steamcommunity.com/profiles/76561198044783646/,1,1.0 hrs on record,"
				No ratings yet			","
Posted: February 5
												the game crashes every 10 mins i play it			"
http://steamcommunity.com/id/imzulu/,1,202.7 hrs on record,"
				1 person found this review helpful			","
Posted: October 28, 2016
												i like buy sell  games ,, time games ,,, i played a lot of this game some were els befor they had it in steam.  you cant buy it enymore but you can have it on BIG FISH site.  theres a 1-2-3 pluys other version . The title sais it build a lot! you build sell destroy rebuild  try to do it in time with the money you make trouggh out the game.i loved it.			"
