user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/asaisav/,1,5.3 hrs on record,"
				2 of 5 people (40%) found this review helpful3 people found this review funny			","
Posted: December 27, 2014
												GREAT at keeping my girlfriend busy for at least an hour or two!			"
http://steamcommunity.com/id/overfiend_87/,1,0.2 hrs on record,"
				5 of 7 people (71%) found this review helpful			","
Posted: January 30, 2013
												More of the first, but with better graphics and somewhat stronger story.  The controls are the same, but everything is far clearer and easier to make sense, but just like the first one, it suffered with a lack of a fast forward button.			"
